old_unit,new_unit,conversion_factor
ACRES,m2,4046.856422
Acres,m2,4046.856422
million sq ft,m2,92903
million square feet,m2,92903
square feet,m2,0.092903
gallons/animal,kg/p,3.79
Mgal,kg,3790000
Bgal,kg,3790000000
gal,kg,3.79
million Cubic metres/year,kg,1000000000
TON,kg,907.185
tons,kg,907.185
short tons,kg,907.185
Thousands of Tons,kg,907185
MT,kg,1000
LB,kg,0.45359
ACRE FEET / ACRE,kg/m2,304.8000006
gal/USD,kg/USD,3.79
Quadrillion Btu,MJ,1.06E+12
Trillion Btu,MJ,1055055900
Tbtu,MJ,1055055900
MT CO2e,MMT CO2e,0.000001
employees,p,1
Thousand USD,USD,1000
Million USD,USD,1000000
kg/employee,kg/p,1
